Rating,Male,Female,Total in rating,Percentage male in rating,Percentage female in rating,Percentage of women who rated in the group,Percentage of men who rated in the group
1,2,3,5,40.00,60.00,5.00,1.89
2,5,15,20,25.00,75.00,25.00,4.72
3,41,29,70,58.57,41.43,48.33,38.68
4,46,12,58,79.31,20.69,20.00,43.40
5,12,1,13,92.31,7.69,1.67,11.32
,106,60,166,,,,
