Prior CS background:,PCSB1_words,PCSB3_words,What gender do you identify with,What race(s) do you identify with?
Never taken CS at Harvard,smart nerdy determined,,,Caucasian
Never taken CS at Harvard,"hard-working, perseverant, intellectual",,,Asian
Never taken CS at Harvard,"Solitary, persistent, engaged",,,Asian
Never taken CS at Harvard,,,,"Asian, Caucasian"
Never taken CS at Harvard,"smart, nice, enthusiastic",,,Black or African American
Never taken CS at Harvard,Computer Science Concentration,,,Caucasian
Never taken CS at Harvard,"Career-focused, hard-working, creative",,,Caucasian
Never taken CS at Harvard,"Logical, night owls",,,Asian
Never taken CS at Harvard,Intellectual focused detailed ,,,Caucasian
Never taken CS at Harvard,"introverted, nocturnal, quietly-passionate",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,technical problem solver ,,,Caucasian
Never taken CS at Harvard,,,,Black or African American
Never taken CS at Harvard,"Focused, nerdy, builder.",,,Black or African American
Never taken CS at Harvard,"witty, creative, problem solving",,,Caucasian
Never taken CS at Harvard,"Quantitative, technical",,,Asian
Never taken CS at Harvard,"meticulous, attentive, glasses",,,Asian
Never taken CS at Harvard,code problem solving,,,Asian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,problem-solver,,,Caucasian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,La Mon Ster.,,,Asian
Never taken CS at Harvard,"Smart, quantitative, technical",,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,Smart chill fun,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Smart, driven, scrappy",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"ambitious, intelligent, hardworking",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Sleepless, smart, persistent ",,"Caucasian, Jewish/Israeli "
"Taken at least one CS class, and intending to concentrate in CS",,Focused driven unusual,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"persistence, persistence, persistence",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,"Motivated, nocturnal, logical",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Intelligent, Competitive, Creative",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Busy, ambitious, creative",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Difficult, rewarding, high paying",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Clever, focused, quick",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Confused, Focused, or Elated",,Black or African American
"Taken at least one CS class, and intending to concentrate in CS",,Not all equal,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Focused, hard-working, determined",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Innovative, determined, curious",,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,Lose your life,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"driven, successful, intense",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Smart, fun, gritty",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,Likes problem solving,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,Masochist ,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,Intense interested intelligent ,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,"Smart, determined, analytical",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Hardworking, smart, problem-solvers",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Diligent, Sharp, Tired",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,problem solving enthusiast,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"intelligent, driven, geeky",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"hardworking, techy, cool",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Lazy, bright, and ambitious",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,intense,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Busy, determined, not very communicative",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Awesome, Smart, Hardworking",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,pre-professional,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,Bright; Diligent; Creative ,,"Asian, Black or African American"
"Taken at least one CS class, and intending to concentrate in CS",,"Logical, organized, hardworking",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"logical, creative, diverse",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"challenging, thrilling, technical",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,Creative flexible logical ,,White
"Taken at least one CS class, and intending to concentrate in CS",,"smart, hardworking, smart",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Driven, logical, dedicated",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"nerdy, busy, proud (?)",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"smart, fast, intense",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,Can't -- they're diverse!,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Smart, hardworking, clever",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Patient, hardworking, intense",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Motivated, Intense, Quick",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Stressed, overworked, ",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"busy, stressed, competitive",,"Asian, Black or African American"
"Taken at least one CS class, and intending to concentrate in CS",,"smart, techie, gamer",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Cocky (most of the guys are), Asian, smart",,"Black or African American, African"
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"hardworking, clever, boring",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and intending to concentrate in CS",,"Diligent, busy, stressed",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino, Native Hawaiian or Pacific Islander"
"Taken at least one CS class, and intending to concentrate in CS",,"Driven, Stressed, Smart",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Experience, Interested, Passionate",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"cliquey, brilliant, condescending",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"passionate, hardworking, tenacious",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Internships, programming, cliche",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"""computer science concentrator""",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Analytical, Well-Equipped, ",,Hispanic or Latino
"Taken at least one CS class, and intending to concentrate in CS",,"mathematically inclined, nerdy, solitary",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"logical, easygoing, intelligent",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,No Free Time,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,"Dedicated, unfashionable, intelligent",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and intending to concentrate in CS",,"Stressed, Overworked, Tired",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Problem-solver, Practical, Debugger",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Logical, busy, fun ",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"smart, innovative, interested ",,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"analytical, problem-solver, creative",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Driven, dedicated, patient",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Intelligent, Hardworking, Inventive",,South African
"Taken at least one CS class, and intending to concentrate in CS",,"Smart, Problem-Solver, Creative",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Industrious, logical, devoted",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Smart, lazy, creative",,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Nerdy, Motivated, Sad",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Versatile, Adaptable, Analytical",,"Black or African American, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,Technologically Inclined Individual,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"pragmatic, practical, focused",,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,,,Hispanic or Latino
"Taken at least one CS class, and intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and intending to concentrate in CS",,"passionate, smart, busy",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"nerdy, ambitious, narrow",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Busy, Conscientious, Frequently sleep-deprived",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"smart, driven, technical",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"Problem solver, geeky",,Arab
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Arrogance, Logical, Idea-people/thinkers",,Indian
"Taken at least one CS class, and intending to concentrate in CS",,"dedicated, stressed, intelligent ",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"stereotypical, sleep-deprived, resume-focused",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"varied, problem-solver, intelligent",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"smart, intense, sleepless",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Brilliant, no sleep, dedicated",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"focused, intelligent, involved",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,intense nerdy persistent,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Ambitious, practical, curious",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Creative, dedicated, determined",,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,"Awkward, Smart, Try-Hard",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,computer science concentrator,,Black or African American
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,Stressful,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"resourceful, efficient, eccentric",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,computer science concentrator,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"hardworking, intelligent, logical",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"unconventionally-risk-averse,polarizing,less-ambiguous",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"idealistic, yuppy, excited",,Black or African American
"Taken at least one CS class, and intending to concentrate in CS",,pretty cool people,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and intending to concentrate in CS",,"#psetlyfe, reserved, smart",,Asian
"Taken at least one CS class, and intending to concentrate in CS",,"puzzlers, logical, passionate",,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,African
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Latin
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Caucasian, Latino"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Indigenous
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,I don't believe in the concept of race
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"American Indian or Alaskan Native, Asian, Black or African American"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,American Indian or Alaskan Native
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,middle eastern
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Arab
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Hispanic or Latino
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Caucasian, Native Hawaiian or Pacific Islander"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Black or African American, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,American Indian or Alaskan Native
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Black or African American
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Caucasian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Asian, Caucasian"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,"Caucasian, Hispanic or Latino"
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
"Taken at least one CS class, and not intending to concentrate in CS",,,,Hispanic or Latino
"Taken at least one CS class, and not intending to concentrate in CS",,,,Hispanic or Latino
"Taken at least one CS class, and not intending to concentrate in CS",,,,Asian
